"nest_code";"nestmix";"epy3";"CODESTART";"CODEEND";"HATCH.DAY";"END.DAY";"year";"ring";"sex";"average_31_before";"min_31_period";"max_31_period";"X60_after";"min_60";"max_60";"average_preciti_31";"XX_NA";"box";"id";"xf";"boxor";"fring";"hlf";"gs1";"mring";"hlm";"fage";"mage";"gs2";"idor";"xfblock";"eblock";"code";"ring.1";"exp";"mani";"treatment";"exp.1";"epy3.1";"sex.1";"mass2";"mass11";"mass12";"mass14";"rtars14";"pha";"pha.1";"PHA";"X";"TEMP_BROOD";"PRCP_BROOD"
"RO15C2011";"WPO";0;2011143;2011157;53;67;2011;"1ER02499";"M";6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;"RO15C";"110137";1;"OJ185";"1ER03673";1.0094229;-0.109688037;"1EP46797";0.9516288;"YEARLING";"YEARLING";-0.109688037;110107;111015;111015;"HAG";"1ER02499";"bs";"3";"experimental nests";"enlarged";"WPY";"M";2.6;"11.6";11.7;11.1;"16.5";0.084;0.084;8.4;NA;13.88;3
"FO59B2009";"WPO";0;2009139;2009153;49;63;2009;"1EP47491";"F";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"FO59B";"90056";1;"FO72";"1EP48309";1.024831;-0.138023327;"1EP46228";0.9516288;"YEARLING";"YEARLING";-0.138023327;90060;90007;90007;"HAB.";"1EP47491";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"F";1.7;"9.4";NA;NA;"16";0.084333333;0.084333333;8.4333333;NA;13.0866666666667;25.8
"OJ1862011";"WPO";0;2011145;2011159;55;69;2011;"1ER03159";"M";6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;"OJ186";"110108";0;"OJ186";"1ER03316";0.9516288;-0.01965044;"1ER03690";1.0980333;"YEARLING";"YEARLING";-0.01965044;110108;110018;110018;"DB";"1ER03159";"bs";"3";"experimental nests";"enlarged";"WPY";"M";2.5;"11.2";NA;11.6;"16.7";0.084333333;0.084333333;8.4333333;NA;14.68;2.1
"FP122011";"WPO";0;2011143;2011157;53;67;2011;"1ER02520";"M";6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;"FP12";"110070";1;"BS28B";"1ER03604";0.9145281;NA;"1ER03603";0.8784266;"OLDER";"OLDER";NA;110033;111013;111013;"G";"1ER02520";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"M";2.6;NA;11.2;12.2;"17.1";0.084333333;0.084333333;8.4333333;NA;13.88;3
"OJ2022009";"WPO";0;2009141;2009155;51;65;2009;"1EP47648";"M";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"OJ202";"90094";1;"OJ204";"1EP48347";0.9145281;-0.075955307;"1EP48348";0.9516288;"YEARLING";"YEARLING";-0.075955307;90095;90016;90016;"HAC";"1EP47648";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"M";1.5;"9.2";NA;11;"17.2";0.087;0.087;8.7;NA;12.7466666666667;27
"BS462010";"WPO";0;2010146;2010160;56;70;2010;"1EP48688";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"BS46";"100022";1;"OJ190B";"1EP47397";1.024831;NA;"1EP47101";1.1567683;"OLDER";"OLDER";NA;100058;100008;100008;"G";"1EP48688";"bs";"3";"experimental nests";"enlarged";"WPY";NA;1.7;"8.4";9.3;9.8;"15.3";0.088333333;0.088333333;8.8333333;NA;12.2333333333333;23
"FO59B2009";"WPO";0;2009139;2009153;49;63;2009;"1EP47488";"F";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"FO59B";"90056";1;"FO72";"1EP48309";1.024831;-0.138023327;"1EP46228";0.9516288;"YEARLING";"YEARLING";-0.138023327;90060;90007;90007;"HE";"1EP47488";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"F";1.9;"9.6";12.1;12.6;"16.8";0.089666667;0.089666667;8.9666667;NA;13.0866666666667;25.8
"RW16D2010";"WPO";0;2010147;2010161;57;71;2010;"1ER03065";"M";4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"RW16D";"100085";0;"RW16D";"1EP46478";0.8784266;-0.024588833;"1EP46448";1.0980333;"YEARLING";NA;-0.024588833;100085;100011;100011;"F";"1ER03065";"bs";"3";"experimental nests";"enlarged";"WPY";"M";3;NA;11.2;11.9;"16.8";0.09;0.09;9;NA;12.48;30.5
"AN16B2011";"WPO";0;2011144;2011158;54;68;2011;"1ER03107";"M";6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;"AN16B";"110007";0;"AN16B";"1ER03666";1.024831;-0.018794847;"1ER03692";1.0980333;"YEARLING";NA;-0.018794847;110007;110013;110013;"ABC";"1ER03107";"bs";"3";"experimental nests";"enlarged";"WPY";"M";3.1;NA;11;NA;"16.6";0.091333333;0.091333333;9.1333333;NA;14.2;3
"PS22010";"WPO";0;2010153;2010167;63;77;2010;"1ER02242";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"PS2";"100066";0;"PS2";"1EP46459";0.9516288;NA;"1EP48149";1.024831;"OLDER";"OLDER";NA;100066;100004;100004;"F";"1ER02242";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";NA;1.1;"9.2";NA;NA;"16.4";0.091666667;0.091666667;9.1666667;NA;13.4866666666667;32.1
"FP552011";"WPO";0;2011143;2011157;53;67;2011;"1ER02526";"F";6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;"FP55";"110076";1;"FO1";"1ER03681";1.0980333;0.002586544;"1ER03682";0.9516288;"YEARLING";"YEARLING";0.002586544;110056;110019;110019;"F";"1ER02526";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"F";1.9;NA;11.2;11.9;"16.7";0.092333333;0.092333333;9.2333333;NA;13.88;3
"BO62010";"WPO";0;2010147;2010161;57;71;2010;"1EP48049";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"BO6";"100020";0;"BO6";"1EP46450";1.1712355;-0.143953366;"1EP48361";0.7320222;"YEARLING";"YEARLING";-0.143953366;100020;100009;100009;"A";"1EP48049";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";NA;1.9;"11";11.5;12.4;"15.9";0.094;0.094;9.4;NA;12.48;30.5
"BO52010";"WPO";0;2010143;2010157;53;67;2010;"1EP48639";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"BO5";"100019";0;"BO5";"1EP48126";1.024831;0.011565842;"1EP48665";0.8052244;"OLDER";"OLDER";0.011565842;100019;100003;100003;"E";"1EP48639";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";NA;1.7;NA;11.5;11.4;"16.8";0.096333333;0.096333333;9.6333333;NA;12.0466666666667;13
"BS852009";"WPO";0;2009139;2009153;49;63;2009;"1EP47521";"F";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"BS85";"90023";1;"BO1-";"1EP47419";1.0980333;-0.0353992;"1EP48306";0.9516288;"YEARLING";"YEARLING";-0.0353992;90010;90006;90006;"C";"1EP47521";"bs";"3";"experimental nests";"enlarged";"WPY";"F";2.3;NA;11.1;11;"16.5";0.097333333;0.097333333;9.7333333;NA;13.0866666666667;25.8
"FA432010";"WPO";0;2010146;2010160;56;70;2010;"1EP48666";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"FA43";"100024";0;"FA43";"1EP46485";1.024831;-0.003374784;"1EP48332";1.0980333;"YEARLING";"YEARLING";-0.003374784;100024;100002;100002;"AB";"1EP48666";"bs";"3";"experimental nests";"enlarged";"WPY";NA;1.7;"9.5";NA;NA;"15.9";0.1;0.1;10;NA;12.2333333333333;23
"BJ312010";"WPO";0;2010149;2010163;59;73;2010;"1ER02300";NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;"BJ31";"100011";1;"OJ105";"1EP48349";1.1712355;0.108776775;"1ER02211";1.024831;"OLDER";"OLDER";0.108776775;100053;100014;100014;"HG";"1ER02300";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";NA;2.1;"11";11.8;11.5;"16.5";0.101;0.101;10.1;NA;12.8666666666667;33.1
"BO1-2009";"WPO";0;2009139;2009153;49;63;2009;"1EP47538";"M";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"BO1-";"90010";0;"BO1-";"1EP47419";1.0980333;-0.0353992;"1EP48306";0.9516288;"YEARLING";"YEARLING";-0.0353992;90010;90006;90006;"AE";"1EP47538";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"M";1.3;NA;11.3;11.8;"15.4";0.101333333;0.101333333;10.1333333;NA;13.0866666666667;25.8
"TU1772009";"WPO";0;2009141;2009155;51;65;2009;"1EP47618";"M";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"TU177";"90132";1;"TU23B";"1ER03694";NA;0.027000812;"1EP48334";NA;"OLDER";"YEARLING";0.027000812;90137;90014;90014;"G";"1EP47618";"bs";"3";"experimental nests";"enlarged";"WPY";"M";2.3;NA;NA;11.8;"16.8";0.101333333;0.101333333;10.1333333;NA;12.7466666666667;27
"RO20B2009";"WPO";0;2009140;2009154;50;64;2009;"1EP47578";"M";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"RO20B";"90114";1;"FA47";"1EP48321";0.9516288;0.10359714;"1EL96592";0.8784266;"YEARLING";"OLDER";0.10359714;90030;90005;90005;"A";"1EP47578";"bs";"0";"CONTROL NEST";"nonmanipulated";"WPY";"M";1.9;NA;11;11.6;"16.6";0.108333333;0.108333333;10.8333333;NA;13;25.8
