KOD;CODESTART;CODEEND;CS;RINGM;MAGE;FAGE;4CAT;MTARS;MMASS;FMASS;FTARS;FRING;EPP;LD;EPC;BOX;BOX ID;YEAR;GS;FAGE2;Brood size;Number of EPY;procent
RM102015;2015102;2015116;10;1ET96598;2;P2;YO;11.5;16.6;10.8;16.8;1ET97489;WPY;26;0;RM10;;2015;;;;;
RE42B2015;2015102;2015116;11;1ET96599;2;2;YY;11.5;16.9;10.3;16.6;1EX15774;WPY;26;0;RE42B;;2015;;;;;
AL27A2015;2015102;2015116;10;1EX14164;P2;P2;OO;10.95;16.15;10.61;16.25;1EX14163;WPY;26;0;AL27A;;2015;;;;;
FK12D2015;2015102;2015116;11;1EX14407;P2;P2;OO;11.8;16.5;10.8;16.5;1EX15780;WPY;26;0;FK12D;;2015;;;;;
AN022015;2015103;2015117;10;1EX15382;2;2;YY;12.5;17.7;10.8;16.6;1EX15786;EPP;27;1;AN02;;2015;;;;;
FK14D2015;2015103;2015117;8;1ET98179;P2;2;OY;11.5;17.3;10.5;17;1ET96571;WPY;27;0;FK14D;;2015;;;;;
FO18D2015;2015103;2015117;10;1ET50063;P2;2;OY;11.4;16.8;NA;NA;1ET98371;WPY;27;0;FO18D;;2015;;;;;
OJ2022015;2015103;2015117;11;1EX14418;P2;P2;OO;10.9;17.3;NA;NA;1ET96523;WPY;27;0;OJ202;;2015;;;;;
BS20A2015;2015104;2015118;7;1EX14423;2;2;YY;10.7;16.7;11;16.8;1EX15797;WPY;28;0;BS20A;;2015;;;;;
RW30A2015;2015104;2015118;10;1EX15214;2;2;YY;11;16.8;25.36;9.87;1EX15792;WPY;28;0;RW30;;2015;;;;;
RW15E2015;2015104;2015118;10;1EX14404;2;P2;YO;10.6;17.2;10.4;16.7;1EX15785;WPY;28;0;RW15E;;2015;;;;;
FO19C2015;2015104;2015118;11;1EX14408;2;2;YY;11.5;17.1;10.8;16.8;1EX15795;WPY;28;0;FO19C;;2015;;;;;
RS15A2015;2015104;2015118;7;1ER02463;P2;2;OY;11.2;17;10.2;16.1;1ET97735;WPY;28;0;RS15A;;2015;;;;;
BO03A2015;2015104;2015118;9;1ET96924;P2;P2;OO;11;17.1;NA;NA;1EX15789;WPY;28;0;BO03A;;2015;;;;;
RO30B2015;2015105;2015119;5;1EX14430;2;P2;YO;11;16.8;11;17;1EX14428;WPY;29;0;RO30B;;2015;;;;;
AN11B2015;2015105;2015119;10;1EX30085;2;2;YY;10.8;16.77;11;16.66;1EX30084;WPY;29;0;AN11B;;2015;;;;;
FKIII022015;2015105;2015119;7;1EX14420;P2;2;OY;11.7;18.1;10.5;16.8;1EX15790;EPP;29;1;FKIII02;;2015;;;;;
BK142015;2015106;2015120;8;1EX14416;2;P2;YO;10.6;17.4;9.6;14.9;1EX15791;WPY;30;0;BK14A;;2015;;;;;
FK06A2015;2015106;2015120;9;1ET96532;P2;2;OY;11.8;17.3;11.2;16.1;1EX14431;WPY;30;0;FK06A;;2015;;;;;
OL04A2015;2015106;2015120;9;1ET50971;P2;2;OY;10.8;17.1;11.6;16.5;1EX15778;WPY;30;0;OL04A;;2015;;;;;
FK40A2015;2015106;2015120;NA;1EX15411;P2;2;OY;10.4;17;11.4;17;1ET96572;WPY;30;0;FK40A;;2015;;;;;
AN1A2015;2015107;2015121;10;1EX30029;2;2;YY;12.2;17.4;11.7;16.23;1EX30030;WPY;31;0;AN1A;;2015;;;;;
RON28B2015;2015108;2015122;10;1EX14426;2;2;YY;11.1;17.9;10.4;15.3;1ET96573;EPP;32;1;RO28B;;2015;;;;;
FK16D2015;2015108;2015122;9;1EX15359;P2;P2;OO;11.5;16.7;11.1;16.7;1ET96576;WPY;32;0;FK16D;;2015;;;;;
RN242015;2015109;2015123;11;1EX14425;2;P2;YO;12.1;17.7;9.9;17;1EX15793;WPY;33;0;RN24;;2015;;;;;
FKII002015;2015109;2015123;8;1ET97892;P2;2;OY;11.5;17.1;10.5;16.3;1EX15798;EPP;33;1;FKII0;;2015;;;;;
FK02D2015;2015110;2015124;10;1EX15393;2;P2;YO;11.4;17.3;11.1;16.8;1EX15043;EPP;34;1;FK02D;;2015;;;;;
FAG20A2015;2015111;2015125;NA;1ET50886;P2;P2;OO;11.6;17.29;10.2;15.72;1EX15002;EPP;35;1;FAG20A;;2015;;;;;
BO102015;2015112;2015126;10;1EX14424;P2;P2;OO;10.5;17.3;10.3;16.2;1ET50627;WPY;36;0;BO10;;2015;;;;;
RO04A2015;2015114;2015128;10;1EX14438;2;P2;YO;11.3;17.2;NA;NA;1ET96579;WPY;38;0;RO04A;;2015;;;;;
FO02D2015;2015114;2015128;9;1ET41985;P2;2;OY;11.5;18;11.1;17;1ET96578;WPY;38;0;FO02D;;2015;;;;;
BS31B2015;2015114;2015128;9;1EX14437;P2;P2;OO;11.2;16.9;10.4;17.1;1ET96575;WPY;38;0;BS31B;;2015;;;;;
RW222015;2015115;2015129;7;1EX14432;2;2;YY;10.4;15.8;NA;16.3;1ET96595;WPY;39;0;RW22;;2015;;;;;
RO20A2015;2015115;2015129;9;1EX15222;2;2;YY;11.7;17.1;10.7;16;1ET96581;WPY;39;0;RO20A;;2015;;;;;
FA362015;2015115;2015129;10;1EX14440;2;2;YY;10;16.4;11;16.6;1ET96271;WPY;39;0;FA36;;2015;;;;;
RS372015;2015115;2015129;10;1EX14453;P2;P2;OO;11.5;17.9;NA;NA;1ET96593;WPY;39;0;RS37;;2015;;;;;
BS62A2015;2015117;2015131;9;1EX14441;P2;2;OY;11.1;17.3;11.2;16.1;1EX15070;WPY;41;0;BS62;;2015;;;;;
RN182015;2015120;2015134;8;1EX14449;2;2;YY;9.9;15.6;11.1;15.7;1EX14450;WPY;44;0;RN18;;2015;;;;;
BJG15A2015;2015120;2015134;NA;1ET41498;P2;P2;OO;11.4;16.87;12.5;17.15;1ET97019;WPY;44;0;BJG15A;;2015;;;;;
FKN12015;2015128;2015142;8;1EX14447;P2;2;OY;12.1;16.9;10.2;15.8;1EX14448;WPY;52;0;FKN01;;2015;;;;;
OL19A2016;2016099;2016113;10;1EX15651;P2;P2;OO;16;10.85;10.88;16.76;1EX30050;WPY;22;0;OL19A;;2016;;;;;
GR13A2016;2016100;2016114;10;1EX28914;P2;2;OY;16.56;11.34;11.29;17.2;1EX14570;WPY;23;0;GR13A;;2016;;;;;
BS31A2016;2016100;2016114;11;1EX14437;P2;2;OY;16.94;11.35;10.55;15.72;1EX28908;EPP;23;1;BS31A;;2016;;;;;
TU19A2016;2016100;2016114;11;1EX28922;P2;P2;OO;16.72;11.1;10.85;16.3;1ET97233;WPY;23;0;TU19A;;2016;;;;;
RN48A2016;2016101;2016115;8;1EX30308;2;P2;YO;16.39;11.37;11.09;15.95;1EX15789;WPY;24;0;RN48A;;2016;;;;;
RO35A2016;2016101;2016115;9;1EX15935;2;P2;YO;16.99;11.34;11.3;16.82;1ET98080;WPY;24;0;RO35A;;2016;;;;;
PS3A2016;2016101;2016115;9;1ET96710;2;P2;YO;16.5;10.84;11.47;16.82;1ET50686;WPY;24;0;PS3A;;2016;;;;;
OL10A2016;2016101;2016115;9;1EX30358;2;P2;YO;17.36;10.03;10.32;17.08;1EX30359;WPY;24;0;OL10A;;2016;;;;;
RM13A2016;2016101;2016115;NA;1EX30339;2;2;YY;17;11.51;10.87;16.01;1ET96891;WPY;24;0;RM13A;;2016;;;;;
RW17B2016;2016101;2016115;10;1EX14188;P2;P2;OO;15.87;10.78;11.59;16.81;1EX28911;WPY;24;0;RW17B;;2016;;;;;
RW23A2016;2016101;2016115;11;1EX28909;P2;2;OY;17.67;11.93;12.29;16.72;1EX28910;EPP;24;1;RW23A;;2016;;;;;
RN8A2016;2016101;2016115;11;1EX30080;P2;P2;OO;16.25;11.23;11.12;16.74;1EX30079;WPY;24;0;RN8A;;2016;;;;;
RO11B2016;2016102;2016116;9;1EX30361;2;2;YY;16.78;11.89;11.14;16.35;1EX30360;WPY;25;0;RO11B;;2016;;;;;
AL11A2016;2016102;2016116;10;1EX30378;2;2;YY;16.93;10.34;10.42;17.18;1EX30377;WPY;25;0;AL11A;;2016;;;;;
TUN48A2016;2016102;2016116;10;1EX28923;2;NA;NA;16.42;11.25;NA;NA;NA;WPY;25;0;TUN48A;;2016;;;;;
GR50A2016;2016102;2016116;11;1EX28917;2;2;YY;17.06;10.41;10.94;17.05;1EX28916;EPP;25;1;GR50A;;2016;;;;;
FK43A2016;2016102;2016116;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;WPY;25;0;FK43A;;2016;;;;;
FA45B2016;2016102;2016116;8;1EX30380;P2;2;OY;16.67;12.2;11.79;16.24;1EX30023;EPP;25;1;FA45B;;2016;;;;;
RM27A2016;2016102;2016116;10;1ET96054;P2;P2;OO;16.18;10.45;11.46;16.7;1EX30067;EPP;25;1;RM27A;;2016;;;;;
FON101A2016;2016102;2016116;10;1ET50704;P2;P2;OO;17.82;12.09;10.98;16.9;1EX14166;WPY;25;0;FON101A;;2016;;;;;
AL2A2016;2016102;2016116;11;1EX30348;P2;P2;OO;16.94;NA;10.83;16;1ET98227;WPY;25;0;AL2A;;2016;;;;;
RM18A2016;2016103;2016117;8;1EX15975;2;2;YY;16.88;11.43;10.73;16.57;1EX30307;WPY;26;0;RM18A;;2016;;;;;
RO5B2016;2016103;2016117;8;1EX28913;2;2;YY;17.8;11.72;11.25;16.98;1EX28912;WPY;26;0;RO5B;;2016;;;;;
RM16A2016;2016103;2016117;11;1EX30343;2;2;YY;15.62;10.71;10.78;16.14;1EX30342;WPY;26;0;RM16A;;2016;;;;;
FO12C2016;2016103;2016117;11;1EX14128;2;2;YY;16.26;10.9;10.97;16.5;1EX28950;WPY;26;0;FO12C;;2016;;;;;
GR62A2016;2016103;2016117;11;1EX28915;2;P2;YO;16.84;11.7;10.34;16.72;1EX30369;WPY;26;0;GR62A;;2016;;;;;
RN27A2016;2016103;2016117;9;1ET96326;P2;2;OY;16.41;11.15;10.86;16.34;1EX30365;EPP;26;1;RN27A;;2016;;;;;
RN18A2016;2016103;2016117;10;1EX30374;P2;P2;OO;17.08;11.77;10.89;16.16;1EX30373;EPP;26;1;RN18A;;2016;;;;;
RN43A2016;2016103;2016117;11;1EX15134;P2;P2;OO;17.77;12.02;11.9;15.55;1ET97895;WPY;26;0;RN43A;;2016;;;;;
GR49A2016;2016103;2016117;11;1EX28918;P2;P2;OO;17.58;11.63;11.33;16.59;Z685417;WPY;26;0;GR49A;;2016;;;;;
AN23A2016;2016103;2016117;11;1ET96397;P2;P2;OO;16.92;11.18;11.41;16.79;1ET97881;WPY;26;0;AN23A;;2016;;;;;
FA4A2016;2016104;2016118;10;1EX28949;2;2;YY;16.67;11.37;10.54;16.19;1EX28948;EPP;27;1;FA4A;;2016;;;;;
FK40A2016;2016104;2016118;11;1EX30304;2;2;YY;16.98;10.59;11.8;16.2;1EX30303;WPY;27;0;FK40A;;2016;;;;;
KT5A2016;2016104;2016118;13;1ET50881;P2;2;OY;16.86;11.1;11.72;16.93;1EX30382;EPP;27;1;KT5A;;2016;;;;;
RN1A2016;2016105;2016119;10;1EX30385;2;2;YY;16.56;11.5;10.74;16.82;1EX30384;WPY;28;0;RN1A;;2016;;;;;
TU26A2016;2016105;2016119;9;1EX30082;P2;2;OY;16.87;11.1;11.07;16.31;1EX28961;EPP;28;1;TU26A;;2016;;;;;
FP6B2016;2016106;2016120;8;1EX14233;2;P2;YO;16.71;9.8;10.86;16.78;1EX14428;EPP;29;1;FP6B;;2016;;;;;
FP11A2016;2016106;2016120;10;1EX14517;2;P2;YO;17.04;11.64;11.17;17.08;1ET41698;WPY;29;0;FP11A;;2016;;;;;
RS45A2016;2016106;2016120;11;1EX30396;2;P2;YO;17.3;11.65;NA;16.66;1EX30395;WPY;29;0;RS45A;;2016;;;;;
RM5A2016;2016106;2016120;8;1ET96598;P2;2;OY;16.78;12.15;10.58;15.43;1EX30366;WPY;29;0;RM5A;;2016;;;;;
AN17A2016;2016106;2016120;11;1ET97047;P2;2;OY;17.96;11.42;11.64;17.29;1EX14210;EPP;29;1;AN17A;;2016;;;;;
FO36A2016;2016107;2016121;8;1EX30033;P2;2;OY;17.05;10.52;10.09;16.07;1EX14146;WPY;30;0;FO36A;;2016;;;;;
RN14A2016;2016107;2016121;8;1EX14449;P2;2;OY;15.34;10.17;11.51;16.36;1EX14388;WPY;30;0;RN14A;;2016;;;;;
RN53A2016;2016108;2016122;9;1EX28643;2;2;YY;17.27;11.58;10.56;16.11;1EX28642;WPY;31;0;RN53A;;2016;;;;;
AN20A2016;2016108;2016122;10;1EX28965;NA;P2;NA;16.5;11.24;11.37;16.55;1EX30030;WPY;31;0;AN20A;;2016;;;;;
FP8A2016;2016108;2016122;8;1EX28955;P2;2;OY;16.81;11.37;10.13;16.5;1EX28954;WPY;31;0;FP8A;;2016;;;;;
AN1A2016;2016109;2016123;8;1EX28952;2;2;YY;16.93;10.82;10.81;16.75;1EX28953;WPY;32;0;AN1A;;2016;;;;;
BS22A2016;2016109;2016123;11;1EX28970;2;2;YY;17.19;11.21;11.32;16.24;1EX28969;EPP;32;1;BS22A;;2016;;;;;
FP48B2016;2016109;2016123;9;1EX50071;P2;2;OY;16.42;11.58;11.1;17.21;1EX28951;WPY;32;0;FP48B;;2016;;;;;
FON113A2016;2016110;2016124;9;1EX28958;2;2;YY;17.26;11.42;11.02;16.33;1EX28959;EPP;33;1;FON113A;;2016;;;;;
FA6A2016;2016110;2016124;10;1EX14344;2;2;YY;17.35;11.09;10.69;15.62;1EX29101;WPY;33;0;FA6A;;2016;;;;;
FO19B2016;2016110;2016124;10;1EX29118;2;2;YY;16.4;10.9;10.79;15.72;1EX29119;WPY;33;0;FO19B;;2016;;;;;
GR61A2016;2016110;2016124;10;1EX28963;P2;2;OY;17.36;NA;10.52;16.08;1EX28962;WPY;33;0;GR61A;;2016;;;;;
FP2B2016;2016110;2016124;10;1EX14451;P2;2;OY;17.19;11.71;10.98;17.15;1EX28966;WPY;33;0;FP2B;;2016;;;;;
AN3C2016;2016113;2016127;8;1EX28964;P2;P2;OO;17.69;11.7;11.52;16.08;1EX14177;EPP;36;1;AN3C;;2016;;;;;
