nest_code;nestmix;epy3;CODESTART;CODEEND;HATCH DAY;END DAY;year;ring;sex;average_31_before;min_31_period;max_31_period;60_after;min_60;max_60;average_preciti_31;XX_NA;box;id;xf;boxor;fring;hlf;gs1;mring;hlm;fage;mage;gs2;idor;xfblock;eblock;code;ring;exp;mani;treatment;exp;epy3;sex;mass2;mass11;mass12;mass14;rtars14;pha;pha;PHA;
BO6-2011;EPP;0;2011142;2011156;52;66;2011;1ER02081;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO6-;110029;0;BO6-;1ER03628;NA;-0.106594636;1EP48665;0.9516288;YEARLING;OLDER;-0.106594636;110029;110015;110015;A;1ER02081;bs;0;CONTROL NEST;nonmanipulated;WPY;F;1.6;7.9;7.9;8.4;15.8;0.032;0.032;3.2;
RO8D2011;EPP;0;2011144;2011158;54;68;2011;1ER02580;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO8D;110145;0;RO8D;1EP46468;0.8784266;0.211767653;1ER03098;0.8784266;OLDER;OLDER;0.211767653;110145;111010;111010;AB;1ER02580;bs;0;CONTROL NEST;nonmanipulated;WPY;F;NA;NA;11.3;12.6;17.4;0.032333333;0.032333333;3.2333333;
FP762010;EPP;0;2010152;2010166;62;76;2010;1ER02220;M;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;FP76;100047;0;FP76;1EP47404;1.024831;0.162645464;1EP48125;1.0980333;OLDER;OLDER;0.162645464;100047;100005;100005;HAC;1ER02220;bs;0;CONTROL NEST;nonmanipulated;WPY;M;1.2;NA;NA;11.7;17.7;0.032333333;0.032333333;3.2333333;
FO19D2011;EPP;0;2011142;2011156;52;66;2011;1ER02415;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;FO19D;110060;0;FO19D;1EP48302;0.8784266;-0.110394213;1ER03664;0.9516288;OLDER;YEARLING;-0.110394213;110060;110014;110014;HAF;1ER02415;bs;3;experimental nests;enlarged;WPY;M;1.4;NA;11.5;11;17.1;0.032666667;0.032666667;3.2666667;
FP22011;EPP;0;2011141;2011155;51;65;2011;1ER02022;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;FP2;110071;1;AN3;1ER03643;1.0980333;0.044540566;1EP48127;1.0983929;YEARLING;YEARLING;0.044540566;110008;110012;110012;B;1ER02022;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2;NA;NA;11.2;16.3;0.033;0.033;3.3;
BJ5B2010;EPP;0;2010147;2010161;57;71;2010;1EP48038;NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;BJ5B;100013;1;BO6;1EP46450;1.1712355;-0.143953366;1EP48361;0.7320222;YEARLING;YEARLING;-0.143953366;100020;100009;100009;C;1EP48038;bs;3;experimental nests;enlarged;WPY;NA;1.8;NA;NA;11.4;15.5;0.033333333;0.033333333;3.3333333;
FA472009;EPP;0;2009140;2009154;50;64;2009;1EP47574;F;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FA47;90030;1;RO20B;1EP48318;0.8784266;0.10359714;1EP48319;1.1712355;OLDER;YEARLING;0.10359714;90114;90005;90005;HC;1EP47574;bs;3;experimental nests;enlarged;WPY;F;2.2;9.5;9.9;NA;16.1;0.033333333;0.033333333;3.3333333;
FA472009;EPP;0;2009140;2009154;50;64;2009;1EP47575;NA;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FA47;90030;0;FA47;1EP48321;0.9516288;0.10359714;1EL96592;0.8784266;YEARLING;OLDER;0.10359714;90030;90005;90005;G;1EP47575;bs;3;experimental nests;enlarged;WPY;NA;1.7;6.8;7.6;8.8;15.3;0.033666667;0.033666667;3.3666667;
OJ1802011;EPP;0;2011143;2011157;53;67;2011;1ER02465;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;OJ180;110106;1;RO16B;1ER03679;0.8784266;0.114004625;1EP48171;0.8052244;YEARLING;OLDER;0.114004625;110138;111012;111012;AE;1ER02465;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2;NA;NA;NA;16.7;0.033666667;0.033666667;3.3666667;
OJ2072011;EPP;0;2011141;2011155;51;65;2011;1ER03173;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;OJ207;110110;1;OJ186;1ER03316;0.9516288;-0.01965044;1ER03690;1.0980333;YEARLING;YEARLING;-0.01965044;110108;110018;110018;DCE;1ER03173;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2.6;NA;NA;NA;16.5;0.034333333;0.034333333;3.4333333;
TU88B2009;EPP;0;2009144;2009158;54;68;2009;1EP48849;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;TU88B;90142;1;BS28B;1ER03604;0.9145281;NA;1ER03603;0.8784266;OLDER;OLDER;NA;90016;90011;90011;ABC;1EP48849;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2.1;9.3;9.9;NA;14.8;0.034666667;0.034666667;3.4666667;
RO8D2011;EPP;0;2011144;2011158;54;68;2011;1ER02578;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO8D;110145;0;RO8D;1EP46468;0.8784266;0.211767653;1ER03098;0.8784266;OLDER;OLDER;0.211767653;110145;111010;111010;A;1ER02578;bs;0;CONTROL NEST;nonmanipulated;WPY;F;1.5;NA;NA;11.5;16.2;0.034666667;0.034666667;3.4666667;
GR192011;EPP;0;2011141;2011155;51;65;2011;1ER02051;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;GR19;110082;0;GR19;1ER03644;0.8784266;-0.006874233;1EL97629;0.8784266;OLDER;OLDER;-0.006874233;110082;111017;111017;AG;1ER02051;bs;3;experimental nests;enlarged;WPY;F;1.2;9;9.3;NA;15.8;0.035666667;0.035666667;3.5666667;
GR192011;EPP;0;2011141;2011155;51;65;2011;1ER02054;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;GR19;110082;1;GR49;NA;1.0980333;-0.169163879;1ER03655;1.0980333;NA;OLDER;-0.169163879;110084;111017;111017;HAE;1ER02054;bs;3;experimental nests;enlarged;WPY;F;1.6;9.5;9.6;NA;16.2;0.036333333;0.036333333;3.6333333;
BO6-2011;EPP;0;2011142;2011156;52;66;2011;1ER02091;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO6-;110029;1;BS54B;1ER03611;1.024831;0.013345119;1ER03610;1.024831;OLDER;YEARLING;0.013345119;110035;110015;110015;HA;1ER02091;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2.5;NA;11.1;NA;15.7;0.036666667;0.036666667;3.6666667;
FKIII112009;EPP;0;2009142;2009156;52;66;2009;1EP48470;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FKIII11;90045;0;FKIII11;1EP48353;0.8784266;0.124972903;1EP48354;0.9516288;YEARLING;YEARLING;0.124972903;90045;90012;90012;HE;1EP48470;bs;3;experimental nests;enlarged;WPY;M;1.6;9.8;NA;NA;15.9;0.037;0.037;3.7;
BO2-2011;EPP;0;2011141;2011155;51;65;2011;1ER02070;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO2-;110026;1;RO20;1ER03657;0.9516288;0.144061325;1ER03658;0.8784266;YEARLING;YEARLING;0.144061325;110140;111018;111018;G;1ER02070;bs;3;experimental nests;enlarged;WPY;M;2.5;NA;11.1;11.4;16.9;0.038333333;0.038333333;3.8333333;
RO2B2010;EPP;0;2010150;2010164;60;74;2010;1ER02357;NA;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;RO2B;100081;1;FA27;NA;1.1712355;-0.084238832;1EP48896;1.024831;YEARLING;YEARLING;-0.084238832;100023;100015;100015;HAB.;1ER02357;bs;3;experimental nests;enlarged;WPY;NA;1.4;NA;NA;11.7;16.6;0.039;0.039;3.9;
RO16B2011;EPP;0;2011143;2011157;53;67;2011;1ER02478;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO16B;110138;1;OJ180;1ER03675;0.8052244;0.114004625;1ER03674;0.9516288;YEARLING;YEARLING;0.114004625;110106;111012;111012;HAC;1ER02478;bs;3;experimental nests;enlarged;WPY;F;2.2;11.2;11.1;12;16;0.039333333;0.039333333;3.9333333;
RE47C2011;EPP;0;2011138;2011152;48;62;2011;1ER03409;NA;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RE47C;110120;0;RE47C;1EP47401;1.0980333;-0.087057888;1EP46492;0.9516288;OLDER;YEARLING;-0.087057888;110120;111014;111014;HAF;1ER03409;bs;0;CONTROL NEST;nonmanipulated;WPY;NA;2.7;NA;11.2;11.4;17.7;0.039333333;0.039333333;3.9333333;
RE47C2011;EPP;0;2011138;2011152;48;62;2011;1ER03406;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RE47C;110120;0;RE47C;1EP47401;1.0980333;-0.087057888;1EP46492;0.9516288;OLDER;YEARLING;-0.087057888;110120;111014;111014;HA;1ER03406;bs;0;CONTROL NEST;nonmanipulated;WPY;F;3.1;NA;11;11;16.9;0.04;0.04;4;
RO72010;EPP;0;2010152;2010166;62;76;2010;1ER02393;F;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;RO7;100083;0;RO7;1EP46425;0.9516288;0.035904891;1EP47578;0.8052244;OLDER;YEARLING;0.035904891;100083;100005;100005;AE;1ER02393;bs;3;experimental nests;enlarged;WPY;F;1.3;8.4;8.7;9.4;15.6;0.040333333;0.040333333;4.0333333;
TU73BM2009;EPP;0;2009143;2009157;53;67;2009;1EP48480;F;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;TU73BM;90140;1;TU11;1EP48365;0.8784266;NA;1EP48364;1.024831;OLDER;OLDER;NA;90131;90003;90003;HAB.;1EP48480;bs;0;CONTROL NEST;nonmanipulated;WPY;F;1.9;9.2;9.4;8.8;15.2;0.040666667;0.040666667;4.0666667;
BO2-2011;EPP;0;2011141;2011155;51;65;2011;1ER02079;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO2-;110026;1;RO20;1ER03657;0.9516288;0.144061325;1ER03658;0.8784266;YEARLING;YEARLING;0.144061325;110140;111018;111018;F;1ER02079;bs;3;experimental nests;enlarged;WPY;M;2.5;11.2;12;12.4;17.5;0.040666667;0.040666667;4.0666667;
